FLUKE 289;  V1.16;  32760112 Ammann

To display full timestamps use Format Cells �m/d/y hh:mm:ss.0'

Start Time;Stop Time;Elapsed Time;Interval;Total readings;Intervals;Input Events;Session Name
25.08.2020 20:03:28;25.08.2020 20:13:26;0:09:58;0:00:01;606;599;14;Circuit 1
Max Time;Max;Average;Min;Min Time;Scaling;
25.08.2020 20:03:40;5,4262 A AC;3,8067 A AC;0,0000 A AC;25.08.2020 20:03:28;(none)

Reading;Sample;Start Time;Duration;Max Time;Max;Average;Min Time;Min;Description;Stop Time
27;5,3538 A AC;25.08.2020 20:03:50,9;0:00:01,0;25.08.2020 20:03:50,9;5,3538 A AC;5,3531 A AC;25.08.2020 20:03:51,5;5,3521 A AC;Interval;25.08.2020 20:03:51,9
28;5,3537 A AC;25.08.2020 20:03:51,9;0:00:01,0;25.08.2020 20:03:51,9;5,3537 A AC;5,3518 A AC;25.08.2020 20:03:52,8;5,3493 A AC;Interval;25.08.2020 20:03:52,9
29;5,3493 A AC;25.08.2020 20:03:52,9;0:00:01,0;25.08.2020 20:03:52,9;5,3493 A AC;5,3488 A AC;25.08.2020 20:03:53,6;5,3482 A AC;Interval;25.08.2020 20:03:53,9
30;5,3483 A AC;25.08.2020 20:03:53,9;0:00:01,0;25.08.2020 20:03:53,9;5,3483 A AC;5,3482 A AC;25.08.2020 20:03:54,4;5,3481 A AC;Interval;25.08.2020 20:03:54,9
31;5,3481 A AC;25.08.2020 20:03:54,9;0:00:01,0;25.08.2020 20:03:54,9;5,3481 A AC;5,3474 A AC;25.08.2020 20:03:55,6;5,3456 A AC;Interval;25.08.2020 20:03:55,9
32;5,3462 A AC;25.08.2020 20:03:55,9;0:00:00,9;25.08.2020 20:03:56,1;5,3464 A AC;5,3461 A AC;25.08.2020 20:03:56,5;5,3458 A AC;Interval;25.08.2020 20:03:56,8
33;5,3461 A AC;25.08.2020 20:03:56,8;0:00:01,0;25.08.2020 20:03:56,8;5,3461 A AC;5,3447 A AC;25.08.2020 20:03:57,7;5,3432 A AC;Interval;25.08.2020 20:03:57,8
34;5,3436 A AC;25.08.2020 20:03:57,8;0:00:01,0;25.08.2020 20:03:58,6;5,3479 A AC;5,3464 A AC;25.08.2020 20:03:57,8;5,3436 A AC;Interval;25.08.2020 20:03:58,8
35;5,3476 A AC;25.08.2020 20:03:58,8;0:00:01,0;25.08.2020 20:03:58,9;5,3478 A AC;5,3473 A AC;25.08.2020 20:03:59,4;5,3468 A AC;Interval;25.08.2020 20:03:59,8
36;5,3471 A AC;25.08.2020 20:03:59,8;0:00:01,0;25.08.2020 20:04:00,6;5,3473 A AC;5,3472 A AC;25.08.2020 20:03:59,8;5,3471 A AC;Interval;25.08.2020 20:04:00,8
37;5,3473 A AC;25.08.2020 20:04:00,8;0:00:01,0;25.08.2020 20:04:01,0;5,3474 A AC;5,3473 A AC;25.08.2020 20:04:01,7;5,3472 A AC;Interval;25.08.2020 20:04:01,8
38;5,3472 A AC;25.08.2020 20:04:01,8;0:00:01,0;25.08.2020 20:04:02,5;5,3473 A AC;5,3472 A AC;25.08.2020 20:04:01,8;5,3472 A AC;Interval;25.08.2020 20:04:02,8
39;5,3473 A AC;25.08.2020 20:04:02,8;0:00:01,0;25.08.2020 20:04:02,8;5,3473 A AC;5,3472 A AC;25.08.2020 20:04:03,7;5,3470 A AC;Interval;25.08.2020 20:04:03,8
40;5,3470 A AC;25.08.2020 20:04:03,8;0:00:01,0;25.08.2020 20:04:04,7;5,3472 A AC;5,3471 A AC;25.08.2020 20:04:03,9;5,3469 A AC;Interval;25.08.2020 20:04:04,9
41;5,3472 A AC;25.08.2020 20:04:04,9;0:00:01,0;25.08.2020 20:04:05,6;5,3475 A AC;5,3474 A AC;25.08.2020 20:04:04,9;5,3472 A AC;Interval;25.08.2020 20:04:05,9
42;5,3476 A AC;25.08.2020 20:04:05,9;0:00:01,0;25.08.2020 20:04:06,5;5,3479 A AC;5,3478 A AC;25.08.2020 20:04:05,9;5,3476 A AC;Interval;25.08.2020 20:04:06,9
43;5,3476 A AC;25.08.2020 20:04:06,9;0:00:01,0;25.08.2020 20:04:06,9;5,3476 A AC;5,3456 A AC;25.08.2020 20:04:07,6;5,3441 A AC;Interval;25.08.2020 20:04:07,9
44;5,3451 A AC;25.08.2020 20:04:07,9;0:00:01,0;25.08.2020 20:04:08,3;5,3456 A AC;5,3451 A AC;25.08.2020 20:04:08,0;5,3448 A AC;Interval;25.08.2020 20:04:08,9
45;5,3452 A AC;25.08.2020 20:04:08,9;0:00:01,0;25.08.2020 20:04:09,4;5,3462 A AC;5,3456 A AC;25.08.2020 20:04:09,8;5,3450 A AC;Interval;25.08.2020 20:04:09,9
46;5,3454 A AC;25.08.2020 20:04:09,9;0:00:01,0;25.08.2020 20:04:10,7;5,3472 A AC;5,3463 A AC;25.08.2020 20:04:09,9;5,3454 A AC;Interval;25.08.2020 20:04:10,9
47;5,3464 A AC;25.08.2020 20:04:10,9;0:00:01,0;25.08.2020 20:04:11,8;5,3469 A AC;5,3467 A AC;25.08.2020 20:04:10,9;5,3464 A AC;Interval;25.08.2020 20:04:11,9
48;5,3469 A AC;25.08.2020 20:04:11,9;0:00:01,0;25.08.2020 20:04:11,9;5,3469 A AC;5,3457 A AC;25.08.2020 20:04:12,6;5,3442 A AC;Interval;25.08.2020 20:04:12,9
49;5,3449 A AC;25.08.2020 20:04:12,9;0:00:00,9;25.08.2020 20:04:12,9;5,3449 A AC;5,3445 A AC;25.08.2020 20:04:13,2;5,3442 A AC;Interval;25.08.2020 20:04:13,8
50;5,3461 A AC;25.08.2020 20:04:13,8;0:00:01,0;25.08.2020 20:04:14,2;5,3468 A AC;5,3462 A AC;25.08.2020 20:04:13,9;5,3458 A AC;Interval;25.08.2020 20:04:14,8
51;5,3458 A AC;25.08.2020 20:04:14,8;0:00:01,0;25.08.2020 20:04:15,6;5,3469 A AC;5,3463 A AC;25.08.2020 20:04:15,7;5,3448 A AC;Interval;25.08.2020 20:04:15,8
52;5,3465 A AC;25.08.2020 20:04:15,8;0:00:01,0;25.08.2020 20:04:15,9;5,3476 A AC;5,3461 A AC;25.08.2020 20:04:16,4;5,3452 A AC;Interval;25.08.2020 20:04:16,8
53;5,3450 A AC;25.08.2020 20:04:16,8;0:00:01,0;25.08.2020 20:04:17,0;5,3456 A AC;5,3446 A AC;25.08.2020 20:04:17,7;5,3427 A AC;Interval;25.08.2020 20:04:17,8
54;5,3432 A AC;25.08.2020 20:04:17,8;0:00:01,0;25.08.2020 20:04:17,9;5,3434 A AC;5,3375 A AC;25.08.2020 20:04:18,7;5,3270 A AC;Interval;25.08.2020 20:04:18,8
55;5,3262 A AC;25.08.2020 20:04:18,8;0:00:01,0;25.08.2020 20:04:18,8;5,3262 A AC;5,3239 A AC;25.08.2020 20:04:19,7;5,3216 A AC;Interval;25.08.2020 20:04:19,8
56;5,3210 A AC;25.08.2020 20:04:19,8;0:00:01,0;25.08.2020 20:04:19,8;5,3210 A AC;5,3198 A AC;25.08.2020 20:04:20,4;5,3188 A AC;Interval;25.08.2020 20:04:20,8
57;5,3183 A AC;25.08.2020 20:04:20,8;0:00:01,0;25.08.2020 20:04:20,8;5,3183 A AC;5,3177 A AC;25.08.2020 20:04:21,8;5,3170 A AC;Interval;25.08.2020 20:04:21,9
58;5,3165 A AC;25.08.2020 20:04:21,9;0:00:01,0;25.08.2020 20:04:22,4;5,3185 A AC;5,3175 A AC;25.08.2020 20:04:22,0;5,3163 A AC;Interval;25.08.2020 20:04:22,9
59;5,3174 A AC;25.08.2020 20:04:22,9;0:00:01,0;25.08.2020 20:04:22,9;5,3174 A AC;5,3146 A AC;25.08.2020 20:04:23,8;5,3117 A AC;Interval;25.08.2020 20:04:23,9
60;5,3110 A AC;25.08.2020 20:04:23,9;0:00:01,0;25.08.2020 20:04:23,9;5,3110 A AC;5,3081 A AC;25.08.2020 20:04:24,8;5,3069 A AC;Interval;25.08.2020 20:04:24,9
61;5,3063 A AC;25.08.2020 20:04:24,9;0:00:01,0;25.08.2020 20:04:24,9;5,3063 A AC;5,3044 A AC;25.08.2020 20:04:25,6;5,3033 A AC;Interval;25.08.2020 20:04:25,9
62;5,3041 A AC;25.08.2020 20:04:25,9;0:00:01,0;25.08.2020 20:04:26,1;5,3043 A AC;5,3028 A AC;25.08.2020 20:04:26,5;5,2995 A AC;Interval;25.08.2020 20:04:26,9
63;5,3020 A AC;25.08.2020 20:04:26,9;0:00:01,0;25.08.2020 20:04:27,0;5,3023 A AC;5,3019 A AC;25.08.2020 20:04:27,1;5,3017 A AC;Interval;25.08.2020 20:04:27,9
64;5,3019 A AC;25.08.2020 20:04:27,9;0:00:01,0;25.08.2020 20:04:28,8;5,3037 A AC;5,3027 A AC;25.08.2020 20:04:27,9;5,3019 A AC;Interval;25.08.2020 20:04:28,9
65;5,3035 A AC;25.08.2020 20:04:28,9;0:00:01,0;25.08.2020 20:04:29,7;5,3056 A AC;5,3049 A AC;25.08.2020 20:04:28,9;5,3035 A AC;Interval;25.08.2020 20:04:29,9
66;5,3056 A AC;25.08.2020 20:04:29,9;0:00:00,9;25.08.2020 20:04:30,6;5,3082 A AC;5,3074 A AC;25.08.2020 20:04:29,9;5,3056 A AC;Interval;25.08.2020 20:04:30,8
67;5,3081 A AC;25.08.2020 20:04:30,8;0:00:01,0;25.08.2020 20:04:30,8;5,3081 A AC;5,3068 A AC;25.08.2020 20:04:31,3;5,3052 A AC;Interval;25.08.2020 20:04:31,8
68;5,3074 A AC;25.08.2020 20:04:31,8;0:00:01,0;25.08.2020 20:04:32,6;5,3085 A AC;5,3080 A AC;25.08.2020 20:04:31,8;5,3074 A AC;Interval;25.08.2020 20:04:32,8
69;5,3079 A AC;25.08.2020 20:04:32,8;0:00:01,0;25.08.2020 20:04:33,7;5,3123 A AC;5,3098 A AC;25.08.2020 20:04:32,8;5,3079 A AC;Interval;25.08.2020 20:04:33,8
70;5,3141 A AC;25.08.2020 20:04:33,8;0:00:01,0;25.08.2020 20:04:34,2;5,3166 A AC;5,3157 A AC;25.08.2020 20:04:33,8;5,3141 A AC;Interval;25.08.2020 20:04:34,8
71;5,3148 A AC;25.08.2020 20:04:34,8;0:00:01,0;25.08.2020 20:04:34,8;5,3148 A AC;5,3129 A AC;25.08.2020 20:04:35,7;5,3123 A AC;Interval;25.08.2020 20:04:35,8
72;5,3122 A AC;25.08.2020 20:04:35,8;0:00:01,0;25.08.2020 20:04:36,6;5,3156 A AC;5,3139 A AC;25.08.2020 20:04:35,8;5,3122 A AC;Interval;25.08.2020 20:04:36,8
