FLUKE 289;  V1.16;  32760112 Ammann

To display full timestamps use Format Cells �m/d/y hh:mm:ss.0'

Start Time;Stop Time;Elapsed Time;Interval;Total readings;Intervals;Input Events;Session Name
25.08.2020 20:03:28;25.08.2020 20:13:26;0:09:58;0:00:01;606;599;14;Circuit 1
Max Time;Max;Average;Min;Min Time;Scaling;
25.08.2020 20:03:40;5,4262 A AC;3,8067 A AC;0,0000 A AC;25.08.2020 20:03:28;(none)

Reading;Sample;Start Time;Duration;Max Time;Max;Average;Min Time;Min;Description;Stop Time
118;5,3419 A AC;25.08.2020 20:05:21,9;0:00:00,9;25.08.2020 20:05:22,0;5,3435 A AC;5,3417 A AC;25.08.2020 20:05:22,6;5,3393 A AC;Interval;25.08.2020 20:05:22,8
119;5,3414 A AC;25.08.2020 20:05:22,8;0:00:01,0;25.08.2020 20:05:23,0;5,3420 A AC;5,3402 A AC;25.08.2020 20:05:23,4;5,3379 A AC;Interval;25.08.2020 20:05:23,8
120;5,3403 A AC;25.08.2020 20:05:23,8;0:00:01,0;25.08.2020 20:05:23,9;5,3404 A AC;5,3392 A AC;25.08.2020 20:05:24,1;5,3380 A AC;Interval;25.08.2020 20:05:24,8
121;5,3363 A AC;25.08.2020 20:05:24,8;0:00:01,0;25.08.2020 20:05:25,3;5,3378 A AC;5,3365 A AC;25.08.2020 20:05:25,7;5,3351 A AC;Interval;25.08.2020 20:05:25,8
122;5,3368 A AC;25.08.2020 20:05:25,8;0:00:01,0;25.08.2020 20:05:26,1;5,3382 A AC;5,3370 A AC;25.08.2020 20:05:26,4;5,3352 A AC;Interval;25.08.2020 20:05:26,8
123;5,3383 A AC;25.08.2020 20:05:26,8;0:00:01,0;25.08.2020 20:05:26,9;5,3387 A AC;5,3378 A AC;25.08.2020 20:05:27,2;5,3362 A AC;Interval;25.08.2020 20:05:27,8
124;5,3374 A AC;25.08.2020 20:05:27,8;0:00:01,0;25.08.2020 20:05:28,2;5,3391 A AC;5,3375 A AC;25.08.2020 20:05:28,0;5,3358 A AC;Interval;25.08.2020 20:05:28,8
125;5,3358 A AC;25.08.2020 20:05:28,8;0:00:01,0;25.08.2020 20:05:29,7;5,3383 A AC;5,3366 A AC;25.08.2020 20:05:29,5;5,3348 A AC;Interval;25.08.2020 20:05:29,8
126;5,3393 A AC;25.08.2020 20:05:29,8;0:00:01,0;25.08.2020 20:05:29,8;5,3393 A AC;5,3373 A AC;25.08.2020 20:05:30,3;5,3350 A AC;Interval;25.08.2020 20:05:30,9
127;5,3383 A AC;25.08.2020 20:05:30,9;0:00:01,0;25.08.2020 20:05:30,9;5,3383 A AC;5,3356 A AC;25.08.2020 20:05:31,8;5,3336 A AC;Interval;25.08.2020 20:05:31,9
128;5,3338 A AC;25.08.2020 20:05:31,9;0:00:01,0;25.08.2020 20:05:32,3;5,3348 A AC;5,3343 A AC;25.08.2020 20:05:31,9;5,3338 A AC;Interval;25.08.2020 20:05:32,9
129;5,3347 A AC;25.08.2020 20:05:32,9;0:00:01,0;25.08.2020 20:05:33,5;5,3361 A AC;5,3353 A AC;25.08.2020 20:05:33,8;5,3342 A AC;Interval;25.08.2020 20:05:33,9
130;5,3341 A AC;25.08.2020 20:05:33,9;0:00:01,0;25.08.2020 20:05:34,7;5,3347 A AC;5,3344 A AC;25.08.2020 20:05:33,9;5,3341 A AC;Interval;25.08.2020 20:05:34,9
131;5,3348 A AC;25.08.2020 20:05:34,9;0:00:01,0;25.08.2020 20:05:34,9;5,3348 A AC;5,3346 A AC;25.08.2020 20:05:35,7;5,3343 A AC;Interval;25.08.2020 20:05:35,9
132;5,3343 A AC;25.08.2020 20:05:35,9;0:00:01,0;25.08.2020 20:05:36,8;5,3350 A AC;5,3346 A AC;25.08.2020 20:05:35,9;5,3343 A AC;Interval;25.08.2020 20:05:36,9
133;5,3373 A AC;25.08.2020 20:05:36,9;0:00:01,0;25.08.2020 20:05:36,9;5,3373 A AC;5,3355 A AC;25.08.2020 20:05:37,8;5,3273 A AC;Interval;25.08.2020 20:05:37,9
134;5,3299 A AC;25.08.2020 20:05:37,9;0:00:01,0;25.08.2020 20:05:38,1;5,3310 A AC;5,3300 A AC;25.08.2020 20:05:38,8;5,3243 A AC;Interval;25.08.2020 20:05:38,9
135;5,3220 A AC;25.08.2020 20:05:38,9;0:00:00,9;25.08.2020 20:05:39,7;5,3269 A AC;5,3237 A AC;25.08.2020 20:05:38,9;5,3220 A AC;Interval;25.08.2020 20:05:39,8
136;5,3295 A AC;25.08.2020 20:05:39,8;0:00:01,0;25.08.2020 20:05:40,7;5,3300 A AC;5,3297 A AC;25.08.2020 20:05:39,8;5,3295 A AC;Interval;25.08.2020 20:05:40,8
137;5,3305 A AC;25.08.2020 20:05:40,8;0:00:01,0;25.08.2020 20:05:41,7;5,3307 A AC;5,3304 A AC;25.08.2020 20:05:41,1;5,3301 A AC;Interval;25.08.2020 20:05:41,8
138;5,3310 A AC;25.08.2020 20:05:41,8;0:00:01,0;25.08.2020 20:05:41,8;5,3310 A AC;5,3298 A AC;25.08.2020 20:05:42,7;5,3280 A AC;Interval;25.08.2020 20:05:42,8
139;5,3276 A AC;25.08.2020 20:05:42,8;0:00:01,0;25.08.2020 20:05:43,5;5,3300 A AC;5,3289 A AC;25.08.2020 20:05:42,8;5,3276 A AC;Interval;25.08.2020 20:05:43,8
140;5,3299 A AC;25.08.2020 20:05:43,8;0:00:01,0;25.08.2020 20:05:43,8;5,3299 A AC;5,3297 A AC;25.08.2020 20:05:44,7;5,3294 A AC;Interval;25.08.2020 20:05:44,8
141;5,3294 A AC;25.08.2020 20:05:44,8;0:00:01,0;25.08.2020 20:05:44,8;5,3294 A AC;5,3290 A AC;25.08.2020 20:05:45,7;5,3285 A AC;Interval;25.08.2020 20:05:45,8
142;5,3284 A AC;25.08.2020 20:05:45,8;0:00:01,0;25.08.2020 20:05:45,8;5,3284 A AC;5,3262 A AC;25.08.2020 20:05:46,6;5,3228 A AC;Interval;25.08.2020 20:05:46,8
143;5,3237 A AC;25.08.2020 20:05:46,8;0:00:01,0;25.08.2020 20:05:47,8;5,3304 A AC;5,3267 A AC;25.08.2020 20:05:46,8;5,3237 A AC;Interval;25.08.2020 20:05:47,9
144;5,3306 A AC;25.08.2020 20:05:47,9;0:00:01,0;25.08.2020 20:05:48,1;5,3308 A AC;5,3288 A AC;25.08.2020 20:05:48,8;5,3172 A AC;Interval;25.08.2020 20:05:48,9
145;5,3238 A AC;25.08.2020 20:05:48,9;0:00:01,0;25.08.2020 20:05:49,1;5,3256 A AC;5,3246 A AC;25.08.2020 20:05:48,9;5,3238 A AC;Interval;25.08.2020 20:05:49,9
146;5,3243 A AC;25.08.2020 20:05:49,9;0:00:01,0;25.08.2020 20:05:50,1;5,3248 A AC;5,3244 A AC;25.08.2020 20:05:50,3;5,3241 A AC;Interval;25.08.2020 20:05:50,9
147;5,3241 A AC;25.08.2020 20:05:50,9;0:00:01,0;25.08.2020 20:05:50,9;5,3241 A AC;5,3230 A AC;25.08.2020 20:05:51,6;5,3223 A AC;Interval;25.08.2020 20:05:51,9
148;5,3230 A AC;25.08.2020 20:05:51,9;0:00:01,0;25.08.2020 20:05:51,9;5,3230 A AC;5,3224 A AC;25.08.2020 20:05:52,5;5,3215 A AC;Interval;25.08.2020 20:05:52,9
149;5,3224 A AC;25.08.2020 20:05:52,9;0:00:01,0;25.08.2020 20:05:52,9;5,3224 A AC;5,3148 A AC;25.08.2020 20:05:53,5;5,3056 A AC;Interval;25.08.2020 20:05:53,9
150;5,3074 A AC;25.08.2020 20:05:53,9;0:00:01,0;25.08.2020 20:05:54,1;5,3079 A AC;5,3060 A AC;25.08.2020 20:05:54,5;5,3046 A AC;Interval;25.08.2020 20:05:54,9
151;5,3047 A AC;25.08.2020 20:05:54,9;0:00:01,0;25.08.2020 20:05:54,9;5,3047 A AC;5,3043 A AC;25.08.2020 20:05:55,8;5,3040 A AC;Interval;25.08.2020 20:05:55,9
152;5,3034 A AC;25.08.2020 20:05:55,9;0:00:00,9;25.08.2020 20:05:56,2;5,3047 A AC;5,3032 A AC;25.08.2020 20:05:56,6;5,3022 A AC;Interval;25.08.2020 20:05:56,8
153;5,3037 A AC;25.08.2020 20:05:56,8;0:00:01,0;25.08.2020 20:05:56,9;5,3041 A AC;5,3030 A AC;25.08.2020 20:05:57,6;5,3021 A AC;Interval;25.08.2020 20:05:57,8
154;5,3020 A AC;25.08.2020 20:05:57,8;0:00:01,0;25.08.2020 20:05:58,7;5,3045 A AC;5,3032 A AC;25.08.2020 20:05:57,8;5,3020 A AC;Interval;25.08.2020 20:05:58,8
155;5,3047 A AC;25.08.2020 20:05:58,8;0:00:01,0;25.08.2020 20:05:58,8;5,3047 A AC;5,3044 A AC;25.08.2020 20:05:59,1;5,3040 A AC;Interval;25.08.2020 20:05:59,8
156;5,3045 A AC;25.08.2020 20:05:59,8;0:00:01,0;25.08.2020 20:06:00,6;5,3064 A AC;5,3059 A AC;25.08.2020 20:05:59,8;5,3045 A AC;Interval;25.08.2020 20:06:00,8
157;5,3064 A AC;25.08.2020 20:06:00,8;0:00:01,0;25.08.2020 20:06:01,1;5,3066 A AC;5,3056 A AC;25.08.2020 20:06:01,6;5,3026 A AC;Interval;25.08.2020 20:06:01,8
158;5,3039 A AC;25.08.2020 20:06:01,8;0:00:01,0;25.08.2020 20:06:02,7;5,3227 A AC;5,3130 A AC;25.08.2020 20:06:01,8;5,3039 A AC;Interval;25.08.2020 20:06:02,8
159;5,3231 A AC;25.08.2020 20:06:02,8;0:00:01,0;25.08.2020 20:06:03,5;5,3236 A AC;5,3231 A AC;25.08.2020 20:06:03,1;5,3226 A AC;Interval;25.08.2020 20:06:03,8
160;5,3234 A AC;25.08.2020 20:06:03,8;0:00:01,0;25.08.2020 20:06:04,3;5,3250 A AC;5,3243 A AC;25.08.2020 20:06:03,8;5,3234 A AC;Interval;25.08.2020 20:06:04,9
161;5,3230 A AC;25.08.2020 20:06:04,9;0:00:01,0;25.08.2020 20:06:04,9;5,3230 A AC;5,3185 A AC;25.08.2020 20:06:05,8;5,3146 A AC;Interval;25.08.2020 20:06:05,9
162;5,3144 A AC;25.08.2020 20:06:05,9;0:00:01,0;25.08.2020 20:06:06,4;5,3149 A AC;5,3142 A AC;25.08.2020 20:06:06,8;5,3128 A AC;Interval;25.08.2020 20:06:06,9
163;5,3128 A AC;25.08.2020 20:06:06,9;0:00:01,0;25.08.2020 20:06:07,3;5,3145 A AC;5,3137 A AC;25.08.2020 20:06:06,9;5,3128 A AC;Interval;25.08.2020 20:06:07,9
164;5,3145 A AC;25.08.2020 20:06:07,9;0:00:01,0;25.08.2020 20:06:08,2;5,3183 A AC;5,3166 A AC;25.08.2020 20:06:07,9;5,3145 A AC;Interval;25.08.2020 20:06:08,9
165;5,3165 A AC;25.08.2020 20:06:08,9;0:00:01,0;25.08.2020 20:06:08,9;5,3165 A AC;5,3152 A AC;25.08.2020 20:06:09,8;5,3123 A AC;Interval;25.08.2020 20:06:09,9
166;5,3119 A AC;25.08.2020 20:06:09,9;0:00:01,0;25.08.2020 20:06:10,8;5,3157 A AC;5,3130 A AC;25.08.2020 20:06:10,3;5,3111 A AC;Interval;25.08.2020 20:06:10,9
167;5,3149 A AC;25.08.2020 20:06:10,9;0:00:01,0;25.08.2020 20:06:11,5;5,3185 A AC;5,3171 A AC;25.08.2020 20:06:11,0;5,3142 A AC;Interval;25.08.2020 20:06:11,9
168;5,3183 A AC;25.08.2020 20:06:11,9;0:00:01,0;25.08.2020 20:06:12,8;5,3199 A AC;5,3187 A AC;25.08.2020 20:06:12,0;5,3182 A AC;Interval;25.08.2020 20:06:12,9
169;5,3207 A AC;25.08.2020 20:06:12,9;0:00:00,9;25.08.2020 20:06:13,6;5,3212 A AC;5,3208 A AC;25.08.2020 20:06:13,2;5,3204 A AC;Interval;25.08.2020 20:06:13,8
170;5,3213 A AC;25.08.2020 20:06:13,8;0:00:01,0;25.08.2020 20:06:13,8;5,3213 A AC;5,3202 A AC;25.08.2020 20:06:14,4;5,3197 A AC;Interval;25.08.2020 20:06:14,8
171;5,3190 A AC;25.08.2020 20:06:14,8;0:00:01,0;25.08.2020 20:06:14,8;5,3190 A AC;5,3184 A AC;25.08.2020 20:06:15,6;5,3182 A AC;Interval;25.08.2020 20:06:15,8
172;5,3181 A AC;25.08.2020 20:06:15,8;0:00:01,0;25.08.2020 20:06:16,7;5,3222 A AC;5,3189 A AC;25.08.2020 20:06:15,8;5,3181 A AC;Interval;25.08.2020 20:06:16,8
173;5,3235 A AC;25.08.2020 20:06:16,8;0:00:01,0;25.08.2020 20:06:17,4;5,3296 A AC;5,3269 A AC;25.08.2020 20:06:16,8;5,3235 A AC;Interval;25.08.2020 20:06:17,8
174;5,3265 A AC;25.08.2020 20:06:17,8;0:00:01,0;25.08.2020 20:06:18,7;5,3281 A AC;5,3263 A AC;25.08.2020 20:06:18,4;5,3243 A AC;Interval;25.08.2020 20:06:18,8
175;5,3283 A AC;25.08.2020 20:06:18,8;0:00:01,0;25.08.2020 20:06:18,8;5,3283 A AC;5,3275 A AC;25.08.2020 20:06:19,2;5,3268 A AC;Interval;25.08.2020 20:06:19,8
176;5,3280 A AC;25.08.2020 20:06:19,8;0:00:01,0;25.08.2020 20:06:20,2;5,3296 A AC;5,3291 A AC;25.08.2020 20:06:19,8;5,3280 A AC;Interval;25.08.2020 20:06:20,8
177;5,3289 A AC;25.08.2020 20:06:20,8;0:00:01,0;25.08.2020 20:06:20,8;5,3289 A AC;5,3276 A AC;25.08.2020 20:06:21,8;5,3263 A AC;Interval;25.08.2020 20:06:21,9
178;5,3261 A AC;25.08.2020 20:06:21,9;0:00:01,0;25.08.2020 20:06:22,6;5,3296 A AC;5,3282 A AC;25.08.2020 20:06:21,9;5,3261 A AC;Interval;25.08.2020 20:06:22,9
179;5,3296 A AC;25.08.2020 20:06:22,9;0:00:01,0;25.08.2020 20:06:22,9;5,3296 A AC;5,3293 A AC;25.08.2020 20:06:23,8;5,3289 A AC;Interval;25.08.2020 20:06:23,9
180;5,3288 A AC;25.08.2020 20:06:23,9;0:00:01,0;25.08.2020 20:06:23,9;5,3288 A AC;5,3264 A AC;25.08.2020 20:06:24,6;5,3240 A AC;Interval;25.08.2020 20:06:24,9
181;5,3266 A AC;25.08.2020 20:06:24,9;0:00:01,0;25.08.2020 20:06:24,9;5,3266 A AC;5,3243 A AC;25.08.2020 20:06:25,8;5,3218 A AC;Interval;25.08.2020 20:06:25,9
182;5,3202 A AC;25.08.2020 20:06:25,9;0:00:01,0;25.08.2020 20:06:26,8;5,3241 A AC;5,3217 A AC;25.08.2020 20:06:25,9;5,3202 A AC;Interval;25.08.2020 20:06:26,9
183;5,3241 A AC;25.08.2020 20:06:26,9;0:00:01,0;25.08.2020 20:06:27,8;5,3253 A AC;5,3244 A AC;25.08.2020 20:06:27,1;5,3238 A AC;Interval;25.08.2020 20:06:27,9
184;5,3248 A AC;25.08.2020 20:06:27,9;0:00:01,0;25.08.2020 20:06:28,6;5,3254 A AC;5,3247 A AC;25.08.2020 20:06:28,0;5,3236 A AC;Interval;25.08.2020 20:06:28,9
185;5,3253 A AC;25.08.2020 20:06:28,9;0:00:01,0;25.08.2020 20:06:28,9;5,3253 A AC;5,3250 A AC;25.08.2020 20:06:29,1;5,3248 A AC;Interval;25.08.2020 20:06:29,9
186;5,3250 A AC;25.08.2020 20:06:29,9;0:00:01,0;25.08.2020 20:06:30,4;5,3277 A AC;5,3267 A AC;25.08.2020 20:06:29,9;5,3250 A AC;Interval;25.08.2020 20:06:30,9
187;5,3272 A AC;25.08.2020 20:06:30,9;0:00:00,9;25.08.2020 20:06:30,9;5,3272 A AC;5,3177 A AC;25.08.2020 20:06:31,4;5,3111 A AC;Interval;25.08.2020 20:06:31,8
188;5,3153 A AC;25.08.2020 20:06:31,8;0:00:01,0;25.08.2020 20:06:32,5;5,3259 A AC;5,3207 A AC;25.08.2020 20:06:31,8;5,3153 A AC;Interval;25.08.2020 20:06:32,8
189;5,3221 A AC;25.08.2020 20:06:32,8;0:00:01,0;25.08.2020 20:06:33,4;5,3246 A AC;5,3224 A AC;25.08.2020 20:06:33,7;5,3205 A AC;Interval;25.08.2020 20:06:33,8
190;5,3205 A AC;25.08.2020 20:06:33,8;0:00:01,0;25.08.2020 20:06:34,7;5,3227 A AC;5,3207 A AC;25.08.2020 20:06:34,4;5,3200 A AC;Interval;25.08.2020 20:06:34,8
191;5,3240 A AC;25.08.2020 20:06:34,8;0:00:01,0;25.08.2020 20:06:35,0;5,3248 A AC;5,3245 A AC;25.08.2020 20:06:34,8;5,3240 A AC;Interval;25.08.2020 20:06:35,8
192;5,3238 A AC;25.08.2020 20:06:35,8;0:00:01,0;25.08.2020 20:06:36,2;5,3240 A AC;5,3233 A AC;25.08.2020 20:06:36,7;5,3226 A AC;Interval;25.08.2020 20:06:36,8
193;5,3223 A AC;25.08.2020 20:06:36,8;0:00:01,0;25.08.2020 20:06:36,8;5,3223 A AC;5,3216 A AC;25.08.2020 20:06:37,7;5,3206 A AC;Interval;25.08.2020 20:06:37,8
194;5,3203 A AC;25.08.2020 20:06:37,8;0:00:01,0;25.08.2020 20:06:38,2;5,3205 A AC;5,3201 A AC;25.08.2020 20:06:38,6;5,3195 A AC;Interval;25.08.2020 20:06:38,8
195;5,3198 A AC;25.08.2020 20:06:38,8;0:00:01,0;25.08.2020 20:06:38,8;5,3198 A AC;5,3198 A AC;25.08.2020 20:06:39,5;5,3197 A AC;Interval;25.08.2020 20:06:39,9
196;5,3196 A AC;25.08.2020 20:06:39,9;0:00:01,0;25.08.2020 20:06:39,9;5,3196 A AC;5,3196 A AC;25.08.2020 20:06:40,8;5,3195 A AC;Interval;25.08.2020 20:06:40,9
197;5,3160 A AC;25.08.2020 20:06:40,9;0:00:01,0;25.08.2020 20:06:40,9;5,3160 A AC;5,3151 A AC;25.08.2020 20:06:41,4;5,3142 A AC;Interval;25.08.2020 20:06:41,9
198;5,3151 A AC;25.08.2020 20:06:41,9;0:00:01,0;25.08.2020 20:06:42,8;5,3161 A AC;5,3149 A AC;25.08.2020 20:06:42,3;5,3138 A AC;Interval;25.08.2020 20:06:42,9
199;5,3172 A AC;25.08.2020 20:06:42,9;0:00:01,0;25.08.2020 20:06:43,5;5,3178 A AC;5,3172 A AC;25.08.2020 20:06:43,8;5,3164 A AC;Interval;25.08.2020 20:06:43,9
200;5,3163 A AC;25.08.2020 20:06:43,9;0:00:01,0;25.08.2020 20:06:44,0;5,3164 A AC;5,3160 A AC;25.08.2020 20:06:44,7;5,3155 A AC;Interval;25.08.2020 20:06:44,9
201;5,3157 A AC;25.08.2020 20:06:44,9;0:00:01,0;25.08.2020 20:06:44,9;5,3157 A AC;5,3157 A AC;25.08.2020 20:06:45,0;5,3156 A AC;Interval;25.08.2020 20:06:45,9
202;5,3157 A AC;25.08.2020 20:06:45,9;0:00:01,0;25.08.2020 20:06:45,9;5,3157 A AC;5,3156 A AC;25.08.2020 20:06:46,8;5,3154 A AC;Interval;25.08.2020 20:06:46,9
203;5,3154 A AC;25.08.2020 20:06:46,9;0:00:00,9;25.08.2020 20:06:47,6;5,3157 A AC;5,3155 A AC;25.08.2020 20:06:46,9;5,3154 A AC;Interval;25.08.2020 20:06:47,8
204;5,3156 A AC;25.08.2020 20:06:47,8;0:00:01,0;25.08.2020 20:06:47,8;5,3156 A AC;5,3156 A AC;25.08.2020 20:06:48,7;5,3154 A AC;Interval;25.08.2020 20:06:48,8
205;5,3110 A AC;25.08.2020 20:06:48,8;0:00:01,0;25.08.2020 20:06:48,8;5,3110 A AC;5,3102 A AC;25.08.2020 20:06:49,7;5,3081 A AC;Interval;25.08.2020 20:06:49,8
206;5,3098 A AC;25.08.2020 20:06:49,8;0:00:01,0;25.08.2020 20:06:50,5;5,3134 A AC;5,3122 A AC;25.08.2020 20:06:49,8;5,3098 A AC;Interval;25.08.2020 20:06:50,8
207;5,3128 A AC;25.08.2020 20:06:50,8;0:00:01,0;25.08.2020 20:06:51,2;5,3144 A AC;5,3139 A AC;25.08.2020 20:06:50,8;5,3128 A AC;Interval;25.08.2020 20:06:51,8
208;5,3137 A AC;25.08.2020 20:06:51,8;0:00:01,0;25.08.2020 20:06:52,6;5,3161 A AC;5,3137 A AC;25.08.2020 20:06:52,7;5,3093 A AC;Interval;25.08.2020 20:06:52,8
209;5,3030 A AC;25.08.2020 20:06:52,8;0:00:01,0;25.08.2020 20:06:52,8;5,3030 A AC;5,3019 A AC;25.08.2020 20:06:53,2;5,3015 A AC;Interval;25.08.2020 20:06:53,8
210;5,3022 A AC;25.08.2020 20:06:53,8;0:00:01,0;25.08.2020 20:06:54,6;5,3041 A AC;5,3025 A AC;25.08.2020 20:06:53,9;5,3021 A AC;Interval;25.08.2020 20:06:54,8
211;5,3027 A AC;25.08.2020 20:06:54,8;0:00:01,0;25.08.2020 20:06:55,0;5,3034 A AC;5,3027 A AC;25.08.2020 20:06:55,7;5,3018 A AC;Interval;25.08.2020 20:06:55,8
212;5,3029 A AC;25.08.2020 20:06:55,8;0:00:01,0;25.08.2020 20:06:55,9;5,3030 A AC;5,3014 A AC;25.08.2020 20:06:56,8;5,2980 A AC;Interval;25.08.2020 20:06:56,9
213;5,2980 A AC;25.08.2020 20:06:56,9;0:00:01,0;25.08.2020 20:06:56,9;5,2980 A AC;5,2977 A AC;25.08.2020 20:06:57,8;5,2953 A AC;Interval;25.08.2020 20:06:57,9
214;5,2928 A AC;25.08.2020 20:06:57,9;0:00:01,0;25.08.2020 20:06:58,8;5,2987 A AC;5,2962 A AC;25.08.2020 20:06:58,0;5,2922 A AC;Interval;25.08.2020 20:06:58,9
215;5,2989 A AC;25.08.2020 20:06:58,9;0:00:01,0;25.08.2020 20:06:58,9;5,2989 A AC;5,2971 A AC;25.08.2020 20:06:59,8;5,2951 A AC;Interval;25.08.2020 20:06:59,9
216;5,2952 A AC;25.08.2020 20:06:59,9;0:00:01,0;25.08.2020 20:07:00,5;5,3091 A AC;5,3044 A AC;25.08.2020 20:07:00,0;5,2951 A AC;Interval;25.08.2020 20:07:00,9
217;5,3094 A AC;25.08.2020 20:07:00,9;0:00:01,0;25.08.2020 20:07:01,0;5,3095 A AC;5,3089 A AC;25.08.2020 20:07:01,8;5,3081 A AC;Interval;25.08.2020 20:07:01,9
218;5,3082 A AC;25.08.2020 20:07:01,9;0:00:01,0;25.08.2020 20:07:02,8;5,3114 A AC;5,3097 A AC;25.08.2020 20:07:02,0;5,3081 A AC;Interval;25.08.2020 20:07:02,9
219;5,3117 A AC;25.08.2020 20:07:02,9;0:00:01,0;25.08.2020 20:07:03,5;5,3129 A AC;5,3103 A AC;25.08.2020 20:07:03,8;5,3001 A AC;Interval;25.08.2020 20:07:03,9
220;5,2993 A AC;25.08.2020 20:07:03,9;0:00:01,0;25.08.2020 20:07:04,7;5,3112 A AC;5,3037 A AC;25.08.2020 20:07:03,9;5,2993 A AC;Interval;25.08.2020 20:07:04,9
221;5,3118 A AC;25.08.2020 20:07:04,9;0:00:00,9;25.08.2020 20:07:05,2;5,3175 A AC;5,3159 A AC;25.08.2020 20:07:04,9;5,3118 A AC;Interval;25.08.2020 20:07:05,8
222;5,3168 A AC;25.08.2020 20:07:05,8;0:00:01,0;25.08.2020 20:07:06,7;5,3204 A AC;5,3167 A AC;25.08.2020 20:07:06,1;5,3138 A AC;Interval;25.08.2020 20:07:06,8
223;5,3209 A AC;25.08.2020 20:07:06,8;0:00:01,0;25.08.2020 20:07:06,9;5,3213 A AC;5,3210 A AC;25.08.2020 20:07:07,7;5,3206 A AC;Interval;25.08.2020 20:07:07,8
224;5,3205 A AC;25.08.2020 20:07:07,8;0:00:01,0;25.08.2020 20:07:07,8;5,3205 A AC;5,3196 A AC;25.08.2020 20:07:08,7;5,3188 A AC;Interval;25.08.2020 20:07:08,8
225;5,3188 A AC;25.08.2020 20:07:08,8;0:00:01,0;25.08.2020 20:07:09,7;5,3205 A AC;5,3194 A AC;25.08.2020 20:07:09,0;5,3183 A AC;Interval;25.08.2020 20:07:09,8
226;5,3205 A AC;25.08.2020 20:07:09,8;0:00:01,0;25.08.2020 20:07:10,7;5,3272 A AC;5,3223 A AC;25.08.2020 20:07:09,8;5,3205 A AC;Interval;25.08.2020 20:07:10,8
227;5,3289 A AC;25.08.2020 20:07:10,8;0:00:01,0;25.08.2020 20:07:11,2;5,3317 A AC;5,3308 A AC;25.08.2020 20:07:10,8;5,3289 A AC;Interval;25.08.2020 20:07:11,8
228;5,3312 A AC;25.08.2020 20:07:11,8;0:00:01,0;25.08.2020 20:07:12,1;5,3315 A AC;5,3302 A AC;25.08.2020 20:07:12,3;5,3290 A AC;Interval;25.08.2020 20:07:12,8
229;5,3284 A AC;25.08.2020 20:07:12,8;0:00:01,0;25.08.2020 20:07:12,8;5,3284 A AC;5,3268 A AC;25.08.2020 20:07:13,7;5,3262 A AC;Interval;25.08.2020 20:07:13,9
230;5,3282 A AC;25.08.2020 20:07:13,9;0:00:01,0;25.08.2020 20:07:14,8;5,3320 A AC;5,3295 A AC;25.08.2020 20:07:13,9;5,3282 A AC;Interval;25.08.2020 20:07:14,9
231;5,3319 A AC;25.08.2020 20:07:14,9;0:00:01,0;25.08.2020 20:07:14,9;5,3319 A AC;5,3319 A AC;25.08.2020 20:07:15,4;5,3318 A AC;Interval;25.08.2020 20:07:15,9
232;5,3318 A AC;25.08.2020 20:07:15,9;0:00:01,0;25.08.2020 20:07:16,8;5,3319 A AC;5,3318 A AC;25.08.2020 20:07:15,9;5,3318 A AC;Interval;25.08.2020 20:07:16,9
233;5,3320 A AC;25.08.2020 20:07:16,9;0:00:01,0;25.08.2020 20:07:17,3;5,3322 A AC;5,3321 A AC;25.08.2020 20:07:16,9;5,3320 A AC;Interval;25.08.2020 20:07:17,9
234;5,3323 A AC;25.08.2020 20:07:17,9;0:00:01,0;25.08.2020 20:07:18,7;5,3329 A AC;5,3326 A AC;25.08.2020 20:07:17,9;5,3323 A AC;Interval;25.08.2020 20:07:18,9
235;5,3330 A AC;25.08.2020 20:07:18,9;0:00:01,0;25.08.2020 20:07:19,4;5,3354 A AC;5,3342 A AC;25.08.2020 20:07:18,9;5,3330 A AC;Interval;25.08.2020 20:07:19,9
236;5,3351 A AC;25.08.2020 20:07:19,9;0:00:01,0;25.08.2020 20:07:20,8;5,3358 A AC;5,3352 A AC;25.08.2020 20:07:20,4;5,3348 A AC;Interval;25.08.2020 20:07:20,9
237;5,3361 A AC;25.08.2020 20:07:20,9;0:00:00,9;25.08.2020 20:07:20,9;5,3361 A AC;5,3342 A AC;25.08.2020 20:07:21,3;5,3321 A AC;Interval;25.08.2020 20:07:21,8
238;5,3350 A AC;25.08.2020 20:07:21,8;0:00:01,0;25.08.2020 20:07:21,9;5,3352 A AC;5,3328 A AC;25.08.2020 20:07:22,2;5,3316 A AC;Interval;25.08.2020 20:07:22,8
239;5,3322 A AC;25.08.2020 20:07:22,8;0:00:01,0;25.08.2020 20:07:23,0;5,3353 A AC;5,3347 A AC;25.08.2020 20:07:22,8;5,3322 A AC;Interval;25.08.2020 20:07:23,8
240;5,3348 A AC;25.08.2020 20:07:23,8;0:00:01,0;25.08.2020 20:07:23,8;5,3348 A AC;5,3345 A AC;25.08.2020 20:07:24,1;5,3342 A AC;Interval;25.08.2020 20:07:24,8
241;5,3339 A AC;25.08.2020 20:07:24,8;0:00:01,0;25.08.2020 20:07:24,8;5,3339 A AC;5,3313 A AC;25.08.2020 20:07:25,4;5,3294 A AC;Interval;25.08.2020 20:07:25,8
